30 1
0	0	0	0	00:00:00	0
200	190	170	0	00:00:30	1000
240	230	210	0	00:01:00	1229
290	280	250	0	00:01:30	1512
350	340	300	0	00:02:00	1859
430	410	360	0	00:02:30	2285
520	490	440	0	00:04:00	2810
630	600	530	0	00:06:00	3454
760	720	650	0	00:10:00	4247
920	870	780	0	00:20:00	5222
1100	1100	900	0	00:40:00	6420
1300	1300	1100	0	01:00:00	7893
1600	1500	1400	0	01:30:00	9705
2000	1900	1700	0	02:00:00	11932
2400	2300	2000	0	02:30:00	14670
2900	2700	2500	0	03:00:00	18037
3500	3300	3000	0	03:30:00	22177
4200	4000	3600	0	04:00:00	27266
5100	4900	4300	0	05:00:00	33523
6200	5900	5300	0	06:00:00	41217
7500	7100	6400	0	07:00:00	50675
9100	8600	7700	0	08:00:00	62305
11000	10000	9000	0	10:00:00	76604
13000	13000	11000	0	12:00:00	94184
16000	15000	14000	0	14:00:00	115798
19000	18000	16000	0	16:00:00	142373
23000	22000	20000	0	18:00:00	175047
28000	27000	24000	0	20:00:00	215219
34000	33000	29000	0	22:00:00	264610
42000	40000	35000	0	26:00:00	325337
50000	48000	43000	0	30:00:00	400000
