30 1
0	0	0	0	00:00:00	0
0	0	0	1	00:00:30	30
700	750	650	1	00:02:00	60
1000	1300	900	1	00:03:00	90
1400	1500	1300	1	00:05:00	120
1900	2000	1800	1	00:07:00	150
2300	2500	2100	2	00:09:00	180
2800	3000	2600	2	00:12:00	210
3800	4000	3600	2	00:15:00	240
4800	5000	4600	3	00:18:00	270
5600	6000	5200	3	00:21:00	300
7600	8000	7200	3	00:25:00	330
9000	10000	8000	4	00:30:00	360
14000	15000	13000	5	00:35:00	390
19000	20000	18000	5	00:45:00	420
23000	25000	20000	7	01:00:00	450
27000	30000	22000	8	01:30:00	480
31000	35000	24000	9	02:00:00	510
35000	40000	26000	10	03:00:00	540
38000	45000	28000	12	04:00:00	570
40000	50000	30000	15	05:00:00	600
42000	55000	32000	17	06:00:00	630
44000	60000	34000	19	07:00:00	660
46000	65000	36000	23	08:00:00	690
48000	70000	38000	27	09:00:00	720
50000	75000	40000	31	10:00:00	750
53000	80000	42000	37	11:00:00	780
56000	85000	44000	43	12:00:00	810
59000	90000	46000	51	13:00:00	840
62000	95000	48000	59	14:00:00	870
65000	100000	50000	69	15:00:00	900
