30 1
0	0	0	0	00:00:00	0
40	50	30	0	00:01:00	240
50	70	40	0	00:01:30	281
70	90	50	0	00:02:00	330
90	110	70	0	00:05:00	386
120	150	90	0	00:07:30	453
150	190	120	0	00:10:00	531
200	250	150	0	00:30:00	622
260	330	200	0	00:40:00	729
350	430	260	0	00:50:00	855
500	600	300	0	01:00:00	1002
600	700	400	0	01:15:00	1175
800	1000	600	0	01:30:00	1377
1000	1300	800	0	01:45:00	1614
1300	1700	1000	0	02:00:00	1891
1800	2200	1300	0	02:30:00	2217
2300	2900	1700	0	03:00:00	2598
3000	3800	2300	0	03:30:00	3046
3900	4900	3000	0	04:00:00	3570
5200	6500	3900	0	05:00:00	4184
6800	8500	5100	0	06:00:00	4904
8900	11100	6600	0	07:00:00	5748
12000	15000	9000	0	08:00:00	6737
15000	19000	11000	0	10:00:00	7897
20000	25000	15000	0	12:00:00	9256
26000	33000	20000	0	14:00:00	10849
34000	43000	26000	0	16:00:00	12716
45000	56000	34000	0	18:00:00	14904
59000	73000	44000	0	22:00:00	17469
77000	96000	58000	0	26:00:00	20476
101000	126000	76000	0	30:00:00	24000
