20 5
0	0	0	0	00:00:00	0
50	100	20	5	00:02:30	5
60	130	30	1	00:05:00	10
80	160	30	1	00:15:00	15
100	210	40	1	00:30:00	20
130	260	50	1	00:50:00	25
160	340	60	2	01:20:00	30
200	430	80	2	02:00:00	35
250	550	100	2	03:00:00	40
320	700	130	3	04:00:00	45
400	890	160	3	05:00:00	50
500	1100	200	3	06:00:00	55
640	1400	250	4	07:00:00	60
800	1800	320	5	09:00:00	65
1000	2400	400	5	12:00:00	70
1300	3000	510	7	14:00:00	75
1600	3800	640	8	18:00:00	80
2000	4900	810	9	22:00:00	85
2500	6200	1000	10	26:00:00	90
3200	7900	1300	12	31:00:00	95
4000	10100	1600	15	36:00:00	100
